protein_accession	CAZy_family	CSDB_Linear_corrected
ABD19779.1		-4)bDGlcpA(1-2)[50%Ac(1-6),aDGalp(1-3)]bDManp(1-4)bDManp(1-3)[Ac(1-2)]bDGlcpN(1-
ABI55342.1	X631	-6)[lRLac(2-4)]bDGlcp(1-4)[Ac(1-2)]aDGalpN(1-3)[Ac(1-2)]bDGalpN(1-
ABU80601.1		-2)aLRhap(1-2)[Ac(1-3)]aLRhap(1-4)bDGalpA(1-3)[Ac(1-2)]bDGalpN(1-
ACA24754.1	X605	-2)[x?GroN(2-6),%Ac(1-4),%Ac(1-3)]bDGalpA(1-3)[Ac(1-2)]aDGalpN(1-4)bDGlcpA(1-3)[Ac(1-2)]bDGlcpN(1-
ACA24776.1	X631	-6)[Ac(1-2)]bDGlcpN(1-3)[Ac(1-2)aDGlcpN(1-4),Ac(1-2)]bDGalpN(1-4)bDGlcpA(1-3)[Ac(1-2)]bDGalpN(1-
ACA24792.1		-3)[lSLac(2-4),Ac(1-2)]bDGlcpN(1-2)aLRhap(1-2)aLRhap(1-3)[bDGlcp(1-2)]aLRhap(1-3)[Ac(1-2)]bDGlcpN(1-
ACA24811.1	X617	-3)[bLRhap(1-4),Ac(1-2)]aDGlcpN(1-P-6)aDGlcp(1-2)bDGlcp(1-3)[Ac(1-2)]bDGlcpN(1-
ACA24840.1	X617	-3)xDGro(1-P-6)bDGlcp(1-4)[aDGlcp(1-6)[Ac(1-2)]aDGalp(1-3),Ac(1-2)]aLFucpN(1-3)[Ac(1-2)]bDGlcpN(1-
ACA24868.1		-4)[lRLac(2-3)[Ac(1-2)]aLRhap(1-3)]bDManp(1-4)aDManp(1-3)[Ac(1-2)]bDGlcpN(1-
ACA24912.1		-2)bDManp(1-3)[Ac(1-2)]aDManpN(1-3)bLRhap(1-4)[Ac(1-2)]aDGlcpN(1-
ACD36984.1		-4)[Ac(1-6),Ac(1-2)[Ac(1-4),Ac(1-3)]aLFucp(1-3),Ac(1-2)]aDGlcpN(1-4)aDGlcpA(1-3)aLFucp(1-3)[Ac(1-2)]bDGlcpN(1-
ACD37006.1		-4)[xSPyr(2-6:2-4)[70%Ac(1-3),Ac(1-2)]bDGlcpN(1-3),Ac(1-2)]aDGalpN(1-4)aDGlcp(1-4)bDGalp(1-3)[Ac(1-2)]bDGalpN(1-
ACD37026.1		-4)[Ac(1-3)]bDGlcpA(1-2)[Ac(1-3)aLRhap(1-3)]aDManp(1-4)bDGalp(1-3)[Ac(1-2)]bDGlcpN(1-
ACD37037.1	X605	-2)[xLAla?(2-6),aDGalf(1-4)]bDGalpA(1-3)[Ac(1-2)]aDGlcpN(1-2)bDGalf(1-5)bDGalf(1-3)[Ac(1-2)]bDGlcpN(1-
ACD37051.1		-6)aDGalp(1-4)bDGlcpA(1-6)bDGalp(1-4)bDGalp(1-4)[Ac(1-2)]bDGlcpN(1-
ACD37072.1		-2)bDGalf(1-3)[Ac(1-2)]aDGlcpN(1-8)[lR3HOBut(1-7),Ac(1-5),Ac(1-4)]aXPsep(2-6)aDGalp(1-6)aDGlcp(1-
ACD37078.1		-4)[Ac(1-2)bDGlcpN(1-3),Ac(1-2)]aDGalpN(1-4)aDGlcp(1-4)aLIdopA(1-3)[Ac(1-2)]bDGalpN(1-
ACD37105.1		-3)[lRLac(2-4)bDGlcp(1-6)aDGlcp(1-4)]bDGalp(1-6)bDGalf(1-3)[Ac(1-2)]bDGalpN(1-
ACD37111.1		-2)[xRPyr(2-4:2-3)]bDGalp(1-4)bDManp(1-4)aDGalp(1-3)[Ac(1-2)]bDGlcpN(1-
ACD37126.1		-2)[bDGalf(1-3)]aLRhap(1-2)aLRhap(1-2)bDRibf(1-4)aDGalpA(1-3)[Ac(1-2)]aDGlcpN(1-
AAD45264.1		-2)bDGlcp(1-3)[Ac(1-2)]aLFucpN(1-3)[Ac(1-2)]bDFucpN(1-
WP_000905563.1		-2)[aXTyvp(1-4)]aDManp(1-4)aLRhap(1-3)[aDGlcp(1-4)]aDGalp(1-
WP_000220864.1		
AAA97573.1	X611	-4)[Am(1-3),Ac(1-2)]bDManpN3NA(1-4)[Ac(1-3),Ac(1-2)]bDManpN3NA(1-3)[Ac(1-2)]aDFucpN(1-
AAC45857.1	X611	-4)[Am(1-3),Ac(1-2)]bDManpN3NA(1-4)[Ac(1-3),Ac(1-2)]bDManpN3NA(1-3)[Ac(1-2)]aDFucpN(1-
AAM27546.1	X608	-4)[Ac(1-3),Ac(1-2)]bDGlcpN3NA(1-3)[Ac(1-2)]aDFucpN(1-3)[Ac(1-2)]aDQuipN(1-4)[Ac(1-2)]aDGalpN(1-
AAM27728.1	X611	-4)[Am(1-3),Ac(1-2)]bDManpN3NA(1-4)[Ac(1-3),Ac(1-2)]aLGulpN3NA(1-3)[Ac(1-2)]aDFucpN(1-
AAM27766.1	X614	-2)[Ac(1-3)]aLRhap(1-6)[Ac(1-2)]aDGlcpN(1-4)[Ac(1-3),Ac(1-2)]aLGalpNA(1-3)[lS3HOBut(1-4),Ac(1-2)]bDQuipN4N(1-
AAM27782.1	X614	-2)aLRhap(1-3)[Ac(1-2)]aLFucpN(1-3)[Ac(1-2)]aLFucpN(1-3)[Ac(1-2)]aDQuipN(1-
AAM27801.1	X611	-4)[Am(1-3),Ac(1-2)]bDManpN3NA(1-4)[Ac(1-3),Ac(1-2)]bDManpN3NA(1-3)[Ac(1-2)]aDFucpN(1-
AAM27879.1	X617	-3)lR3HOBut(1-7)[Ac(1-5),Ac(1-4)]aXPsep(2-4)[Ac(1-2)]aDFucpN(1-3)[Ac(1-2)]bDQuipN(1-
AAM27560.1		-3)[Ac(1-2)]aLRhap(1-4)[Ac(1-2)]aLGalpNA(1-3)[Ac(1-2)]aDQuipN(1-
AAM27574.1		-2)bDGlcp(1-3)[Ac(1-2)]aLFucpN(1-3)[Ac(1-2)]bDFucpN(1-
AAM27595.1		-8)[Ac(1-7),Ac(1-5)]aX8eLegp(2-3)[Am(1-2)]aLFucpN(1-3)[Ac(1-2)]aDQuipN(1-
AAM27615.1	X614	-2)aLRhap(1-3)aLRhap(1-4)[Ac(1-3),Ac(1-2)]aDGalpNA(1-3)[Ac(1-2)]bDQuipN(1-
AAM27645.1	X614	
AAM27662.1	X611	-4)[Am(1-3),Ac(1-2)]bDManpN3NA(1-4)[Ac(1-3),Ac(1-2)]bDManpN3NA(1-3)[Ac(1-2)]bDFucpN(1-
AAM27693.1	X611	-4)[Am(1-3),Ac(1-2)]aLGulpN3NA(1-4)[Ac(1-3),Ac(1-2)]bDManpN3NA(1-3)[Ac(1-2)]aDFucpN(1-
AAM27711.1		-3)aLRhap(1-4)[Ac(1-2)]aLGalpNA(1-3)[Ac(1-2)]aDQuipN(1-
AAM27748.1	X611	-4)[Am(1-3),Ac(1-2)]bDGulpN3NA(1-4)[Ac(1-3),Ac(1-2)]bDManpN3NA(1-3)[Ac(1-2)]aDFucpN(1-
AFW04668.1		
AFW04684.1		-4)bDManp(1-4)aDManp(1-3)[Ac(1-2)]bDGlcpN(1-4)[Ac(1-2)]bDGlcpN(1-
AFW04696.1		
AFW04706.1	X608	
AFW04716.1		
AFW04735.1		
AFW04741.1		-4)[Ac(1-2)aDGlcpN(1-3),Ac(1-2)]bDGalpN(1-3)aDGalp(1-4)bDGalp(1-3)[Ac(1-2)]bDGalpN(1-
AFW04757.1		
AFW04785.1	X617	-3)[Ac(1-2)[NH2(1-6)]aDGalpNA(1-2)]aLRhap(1-2)aLRhap(1-3)aLRhap(1-2)aLRhap(1-3)[Ac(1-2)]bDGlcpN(1-
AFW04790.1		-2)bDRibf(1-4)bDGalp(1-4)[Ac(1-2)]aDGlcpN(1-4)bDGalp(1-3)[Ac(1-2)]aDGlcpN(1-
AFW04802.1		
AFW04812.1	X617	-3)[Ac(1-2)bDManpN(1-2)]aLRhap(1-2)aLRhap(1-2)aDGalp(1-3)[Ac(1-2)]bDGlcpN(1-
AFW04820.1	X617	-3)[bDManp(1-4)]aDGalp(1-4)aLRhap(1-3)[Ac(1-2)]bDGlcpN(1-
AFW04828.1		-2)aDGlcp(1-6)aDGlcp(1-4)[Ac(1-2)bDGlcpN(1-3)]aDGalp(1-3)[Ac(1-2)]bDGlcpN(1-
AFW04837.1		-2)aDGalf(1-4)[Ac(1-2)]bDGalpN(1-4)[30%Ac(1-3),60%Ac(1-2)]aLRhap(1-3)[Ac(1-2)]bDGlcpN(1-
AFW04847.1	X605	-2)bDGalp(1-3)[Ac(1-2)]aDGlcpN(1-4)aLRhap(1-3)[Ac(1-2)]bDGlcpN(1-
AFW04860.1	X617	-2)[Fo(1-3)aDFucp3N(1-3)]bDManp(1-3)bDGlcp(1-3)[Ac(1-2)]bDGlcpN(1-
AFW04867.1	X617	
AFW04883.1	X617	-3)[Ac(1-2)bDGlcpN(1-2)]aLRhap(1-2)aLRhap(1-4)aDGlcp(1-3)[Ac(1-2)]bDGalpN(1-
AFW04888.1		-6)aDGlcp(1-4)[Ac(1-2)bDGlcpN(1-3)]bDGalp(1-3)[Ac(1-2)]aDGalpN(1-3)[Ac(1-2)]bDGlcpN(1-
CAA43077.1		-6)bDManp(1-4)aLRhap(1-3)[Ac(1-6)]aDGalp(1-
CAA43912.1		
AAB48190.1		-6)[aXTyvp(1-3)]bDManp(1-4)aLRhap(1-3)[%aDGlcp(1-4)]aDGalp(1-
AAC38177.1		
AAL91079.1		
AAL91080.1		
AAL91081.1		
AAL91082.1		
AAO68867.1		-2)[aXTyvp(1-4)]aDManp(1-4)aLRhap(1-3)[aDGlcp(1-4)]aDGalp(1-
AAV77445.1		-2)[aXParp(1-3)]aDManp(1-4)[Ac(1-3)]aLRhap(1-3)[aDGlcp(1-6)]aDGalp(1-
WP_001529369.1		-4)[aXAbep(1-3)]bLRhap(1-2)aDManp(1-2)aDManp(1-3)[%aDGlcp(1-2)]bDGalp(1-
WP_237703389.1		
WP_000936592.1		-4)[aXAbep(1-3),Ac(1-2)]bLRhap(1-2)aDManp(1-2)[Ac(1-2)aDGlcp(1-3)]aDManp(1-3)bDGalp(1-
WP_000231472.1		
WP_000936591.1		
ACF64132.1		-4)[aXAbep(1-3),Ac(1-2)]bLRhap(1-2)aDManp(1-2)[Ac(1-2)aDGlcp(1-3)]aDManp(1-3)bDGalp(1-
ACF69726.1		
WP_000936589.1		-4)[aXAbep(1-3)]bLRhap(1-2)aDManp(1-2)aDManp(1-3)[%aDGlcp(1-2)]bDGalp(1-
ACF92750.1		
CAR59582.1		-2)[aXParp(1-3)]aDManp(1-4)[Ac(1-3)]aLRhap(1-3)[aDGlcp(1-6)]aDGalp(1-
ACH74809.1		
CAR37642.1		-2)[aXTyvp(1-3)]aDManp(1-4)aLRhap(1-3)aDGalp(1-
AGS07316.1		-6)bDManp(1-4)aLRhap(1-3)[aDGlcp(1-6)]aDGalp(1-
AGS07327.1		-6)bDManp(1-4)aLRhap(1-3)[Ac(1-6)]aDGalp(1-
AGS07346.1		-6)[aXTyvp(1-3)]<<bDManp(1-4)|aDManp(1-4)>>aLRhap(1-3)aDGalp(1-
AGS07363.1		-6)[aXTyvp(1-3)]bDManp(1-4)aLRhap(1-3)[%aDGlcp(1-4)]aDGalp(1-
AAL20257.1		-2)[Ac(1-2)aXAbep(1-3)]aDManp(1-4)aLRhap(1-3)[aDGlcp(1-4)]aDGalp(1-
ABX51880.1		-2)[Ac(1-2)xLAla?(1-3)]bDQuip3N(1-6)[aDGlcp(1-4)aDGlcpA(1-4)]bDGlcp(1-3)[Ac(1-2)]aDGalpN(1-
ABX51892.1	X617	-3)[Ac(1-4),%Ac(1-2)[%Ac(1-4),%Ac(1-3)]aLRhap(1-4)aDGalpA(1-2)]aLRhap(1-4)aDGlcp(1-2)aLRhap(1-3)[Ac(1-2)]bDGlcpN(1-
AAV34494.1		
AAV34507.1		
AAV34523.1		
WP_079758769		-4)[Ac(1-3),Ac(1-2)]bDGlcpN3NA(1-3)[Ac(1-2)]aDFucpN(1-3)[Ac(1-2)]aDQuipN(1-4)[Ac(1-2)]aDGalpN(1-
